place,title,period,price,url
KINTEX,저REC 환경과 태양광 사업 전략,2020.06.18 ~ 2020.06.18,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019026869
KINTEX,메가쇼 2020 시즌1,2020.06.18 ~ 2020.06.21,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027518&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=3
KINTEX,국제 LED & OLED EXPO 2020,2020.06.24 ~ 2020.06.26,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027518
KINTEX,NANO KOREA 2020,2020.07.01 ~ 2020.07.03,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027480&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=3
KINTEX,아템페어 2020(제12회 국제접착코팅필름융합소재전),2020.07.01 ~ 2020.07.03,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027480
KINTEX,민족사관고등학교 입학설명회,2020.07.09 ~ 2020.07.09,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027713&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=4
KINTEX,쥬비스다이어트 고객초청강의,2020.07.22 ~ 2020.07.22,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027713
KINTEX,한국경제신문 머니 로드쇼,2020.08.15 ~ 2020.08.15,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019027238&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=4
KINTEX,2020 한국 중장비 전시회 - 부품 및 어태치먼트 판매대전,2020.08.26 ~ 2020.08.28,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2019027238
KINTEX,RETECH 2020 제13회 국제환경장비 및 자원순환산업전,2020.08.26 ~ 2020.08.28,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027550&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=4
KINTEX,제3회 코리아렌탈쇼,2020.08.27 ~ 2020.08.30,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027550
KINTEX,2020 대한민국 물산업박람회,2020.09.09 ~ 2020.09.11,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027700&sField=&sWord=&eventClCode=&prmtrNm=&koreanEventNm=&searchType=period&periodSYear=2020&periodSMonth=03&periodEYear=2020&periodEMonth=12&cPage=4
KINTEX,경기도치과의사회 2020년 1차 보수교육,2020.09.16 ~ 2020.10.21,,https://www.kintex.com/client/c010101/c010101_02.jsp?eventNo=2020027700
